brand,fuel_type,model_date,vehicle_transmission,Car_name,Year,Location,mileage_from_odometer_km,vehicle_engine_cc,price_usd
Honda,Petrol,2013.0,Automatic,Civic ,2013,Karachi,100000.0,1800.0,9574.13
Honda,Petrol,2003.0,Automatic,Civic ,2003,Rawalpindi,220000.0,1600.0,5248.04
Toyota,Petrol,1999.0,Manual,Corolla ,1999,Multan,12354.0,1300.0,3723.27
Honda,Petrol,1999.0,Automatic,Civic ,1999,Jhelum,150000.0,1600.0,4201.98
Toyota,Petrol,1995.0,Manual,Corolla ,1995,Lahore,150000.0,1300.0,2659.48
Toyota,Petrol,2021.0,Automatic,Corolla ,2021,Karachi,11000.0,1800.0,21985.04
Suzuki,Petrol,2022.0,Manual,Alto ,2022,Abbottabad,23000.0,660.0,9396.83
Daihatsu,Petrol,2017.0,Automatic,Hijet ,2017,Karachi,113000.0,660.0,7535.19
Toyota,Diesel,1992.0,Manual,Cruiser ,1992,Abbottabad,200000.0,2800.0,13652.0
Toyota,Petrol,2006.0,Automatic,Prado ,2006,Islamabad,118000.0,2700.0,31204.57
Daihatsu,Petrol,2013.0,Automatic,Move ,2013,Lahore,128000.0,660.0,7978.44
Toyota,Petrol,2020.0,Automatic,Corolla ,2020,Lahore,41000.0,1300.0,15247.69
Toyota,Petrol,2020.0,Automatic,Yaris ,2020,Lahore,25000.0,1500.0,15602.28
Suzuki,Petrol,2005.0,Manual,Mehran ,2005,Islamabad,53548.0,800.0,2056.66
Toyota,Petrol,2002.0,Automatic,IST ,2002,Karachi,120000.0,1300.0,4574.31
Toyota,Petrol,2010.0,Automatic,Prado ,2010,Lahore,105059.0,2700.0,43615.47
Toyota,Petrol,2022.0,Automatic,Corolla ,2022,Islamabad,15500.0,1600.0,22109.15
Toyota,Diesel,2007.0,Automatic,Hilux ,2007,Karachi,85000.0,3000.0,20566.65
Toyota,Diesel,2005.0,Automatic,Cruiser ,2005,Islamabad,185000.0,4200.0,26594.8
Daihatsu,Petrol,2019.0,Automatic,Mira ,2019,Lahore,47497.0,660.0,10106.02
Honda,Hybrid,2018.0,Automatic,Vezel ,2018,Lahore,30000.0,1500.0,26594.8
Toyota,Petrol,2015.0,Automatic,Vitz ,2015,Lahore,70000.0,1000.0,9308.18
Suzuki,Petrol,2013.0,Manual,Mehran ,2013,Islamabad,100000.0,796.0,3545.97
Toyota,Petrol,2002.0,Automatic,Prado ,2002,Mian,115000.0,3378.0,30495.37
Toyota,Petrol,1998.0,Automatic,Corolla ,1998,Peshawar,12000.0,1500.0,5141.66
Suzuki,Petrol,2011.0,Manual,Mehran ,2011,Chiniot,50000.0,800.0,1382.93
Toyota,Diesel,2005.0,Manual,Corolla ,2005,Sargodha,215000.0,2000.0,5318.96
Daihatsu,Petrol,2006.0,Manual,Cuore ,2006,Islamabad,164332.0,800.0,3368.67
Toyota,Diesel,2020.0,Automatic,Fortuner ,2020,Faisalabad,20750.0,2800.0,54962.59
Suzuki,Petrol,2015.0,Manual,Cultus ,2015,Lahore,127000.0,1300.0,4609.77
Toyota,Petrol,2013.0,Manual,Corolla ,2013,Rahim,98000.0,1300.0,9042.23
Toyota,Petrol,2018.0,Automatic,Vitz ,2018,Faisalabad,91502.0,1000.0,13297.4
Suzuki,Petrol,2016.0,Manual,Mehran ,2016,Karachi,56000.0,800.0,3014.08
Toyota,Petrol,2021.0,Automatic,Corolla ,2021,Lahore,27000.0,1800.0,22250.98
Honda,Petrol,2005.0,Manual,Civic ,2005,Lahore,150000.0,1500.0,3528.24
Honda,Petrol,2004.0,Manual,City ,2004,Karachi,150000.0,1300.0,4893.44
Toyota,Petrol,2011.0,Automatic,Corolla ,2011,Karachi,130000.0,1600.0,8687.64
Toyota,Hybrid,2019.0,Automatic,Prius ,2019,Lahore,70000.0,1800.0,32622.96
Toyota,Hybrid,2019.0,Automatic,Aqua ,2019,Lahore,20599.0,1500.0,19857.45
Daihatsu,Petrol,2018.0,Automatic,Move ,2018,Lahore,20552.0,660.0,10106.02
Toyota,Hybrid,2020.0,Automatic,Cross ,2020,Lahore,6000.0,1500.0,29431.58
Toyota,Hybrid,2020.0,Automatic,Cross ,2020,Lahore,6000.0,1490.0,29431.58
Suzuki,Hybrid,2018.0,Automatic,Spacia ,2018,Lahore,42000.0,660.0,11879.01
Honda,Petrol,2019.0,Automatic,Wgn ,2019,Lahore,21965.0,660.0,11879.01
Toyota,Hybrid,2019.0,Automatic,Fielder ,2019,Lahore,15000.0,1500.0,23048.83
Honda,Hybrid,2015.0,Automatic,Vezel ,2015,Karachi,52000.0,1500.0,19502.85
Toyota,Petrol,2016.0,Automatic,Corolla ,2016,Sargodha,80000.0,1800.0,12588.21
Honda,Petrol,2009.0,Manual,Civic ,2009,Kala,160000.0,1800.0,5318.96
Suzuki,Petrol,2019.0,Manual,Bolan ,2019,Attock,65041.0,800.0,5318.96
Toyota,Petrol,2006.0,Automatic,Belta ,2006,Karachi,130000.0,1300.0,6560.05
Toyota,Petrol,2021.0,Manual,Yaris ,2021,Karachi,2500.0,1300.0,12854.15
Toyota,Diesel,1998.0,Manual,Prado ,1998,Muzaffarabad,230000.0,3000.0,11701.71
Toyota,Petrol,2007.0,Manual,Corolla ,2007,Khanewal,400000.0,1300.0,4716.14
Honda,Petrol,2005.0,Manual,Civic ,2005,Lahore,228000.0,1500.0,5141.66
Honda,Petrol,2021.0,Automatic,City ,2021,Karachi,1849.0,1500.0,18368.14
Honda,Petrol,2018.0,Automatic,Vezel ,2018,Faisalabad,36864.0,1500.0,26594.8
Toyota,Petrol,2008.0,Automatic,Prado ,2008,Karachi,139000.0,2700.0,30140.78
Toyota,Petrol,2015.0,Automatic,Prius ,2015,Islamabad,142000.0,1800.0,17694.41
Toyota,Petrol,2014.0,Manual,Corolla ,2014,Lahore,104000.0,1300.0,10992.52
Daihatsu,Petrol,2016.0,Automatic,Copen ,2016,Karachi,45000.0,660.0,11347.12
Suzuki,Petrol,2022.0,Manual,Alto ,2022,Dera,1200.0,660.0,9166.34
Suzuki,Petrol,2015.0,Manual,Cultus ,2015,Karachi,80000.0,1000.0,5141.66
